K	N
980	52
981	49
982	64
983	56
984	52
985	63
986	57
987	69
988	57
989	56
990	69
991	51
992	67
993	65
994	64
995	55
996	75
997	68
998	68
999	89
1000	73
1001	84
1002	80
1003	68
1004	84
1005	68
1006	70
1007	78
1008	81
1009	89
1010	79
1011	70
1012	77
1013	86
1014	74
1015	84
1016	83
1017	97
1018	104
1019	102
1020	105
1021	103
1022	95
1023	97
1024	0
